title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
Orbiter 9,2017,Hatem Khraiche,95,1557,151,2.7,25,31,68,220,255,330,123,74,14,15
The Horror of Frankenstein,1970,Jimmy Sangster,95,1074,154,2.8,5,19,27,95,128,221,85,54,3,4
Marooned,1969,John Sturges,134,1085,104,2.7,9,30,39,103,117,156,73,46,4,3
The History of Future Folk,2012,"Jeremy Kipp Walker,John Mitchell",86,1312,320,3.5,3,8,15,41,70,198,237,209,78,50
The Incredible Mr. Limpet,1964,Arthur Lubin,99,2797,328,2.8,14,41,44,176,183,385,146,104,15,21
Approaching the Unknown,2016,Mark Elijah Rosenberg,90,1475,97,2.4,25,92,98,270,227,210,79,46,5,9
Breeders,1986,Tim Kincaid,77,1035,158,2.4,28,91,75,123,111,146,47,42,5,11
Vice,2015,Brian A. Miller,96,1849,64,1.8,187,281,156,225,115,94,32,17,4,18
The Time Travelers,1964,Ib Melchior,82,1631,114,2.2,58,148,115,254,146,158,53,20,6,4
Mutant Chronicles,2008,Simon Hunter,111,2451,113,2.2,83,183,173,327,224,228,77,45,9,7
Heavy Metal 2000,2000,"Michael Coldewey,Michel Lemire",88,2228,164,2.4,36,112,128,227,205,220,59,51,11,20
I Married a Monster from Outer Space,1958,Gene Fowler Jr.,78,866,172,3.1,4,5,8,42,58,163,109,74,7,9
2-Headed Shark Attack,2012,Christopher Ray,90,1885,98,1.5,302,306,127,148,61,70,14,14,6,16
Terra Formars,2016,Takashi Miike,109,1182,131,2.5,39,68,113,172,149,206,98,36,8,7
Giant God Warrior Appears in Tokyo,2012,Shinji Higuchi,9,1108,261,3.4,3,8,11,31,46,154,143,153,31,34
The Thing with Two Heads,1972,Lee Frost,91,1114,141,2.6,18,44,64,108,112,147,64,41,3,10
Darkman II: The Return of Durant,1995,Bradford May,93,2177,159,2.4,17,88,98,325,246,209,78,22,0,6
Return to Nuke 'Em High Volume 1,2013,Lloyd Kaufman,85,1322,244,3.0,22,35,47,76,117,196,137,125,39,30
The Premonition,1976,Robert Allen Schnitzer,94,809,149,3.0,3,7,18,66,103,196,118,72,13,9
Ruby Red,2013,Felix Fuchssteiner,122,2758,298,2.8,58,82,113,202,209,323,179,157,23,79
The Invincible Iron Man,2007,"Jay Oliva,Patrick Archibald",83,2537,223,2.6,29,55,75,270,278,340,98,52,10,17
1984,1956,Michael Anderson,90,1131,126,3.2,5,6,8,50,68,202,135,134,11,22
Z.P.G.,1972,Michael Campus,97,980,138,2.8,1,22,39,109,159,223,102,43,2,8
Dance of the Dead,2005,Tobe Hooper,59,1889,160,2.4,48,119,106,236,180,230,102,63,15,11
Cleopatra,1970,"Osamu Tezuka,Eiichi Yamamoto",112,539,83,3.1,6,12,14,27,39,103,67,52,15,5
Warlock: The Armageddon,1993,Anthony Hickox,98,1983,231,2.7,19,56,73,197,189,303,128,85,7,18
"Yongary, Monster from the Deep",1967,Kim Ki-duk,79,1570,130,2.1,46,135,156,237,142,110,32,26,8,9
